date,SKU,impressions,clicks,costPerClick,clickThroughRate,cost,spend,currency-code,purchases1d,purchases7d,purchases14d,purchases30d,unitsSoldClicks1d,unitsSoldClicks7d,unitsSoldClicks14d,unitsSoldClicks30d,sales1d,sales7d,sales14d,sales30d,acosClicks7d,acosClicks14d,roasClicks7d,roasClicks14d
2025-09-03,MN-09,86,2,0.410,2.326,0.82,0.82,USD,1,1,1,1,2,2,2,2,32.98,32.98,32.98,32.98,2.486355367,2.486355367,40.2195122,40.2195122
2025-09-03,MN-07,544,6,1.190,1.103,7.14,7.14,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-09,183,1,0.320,0.546,0.32,0.32,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-07,385,2,1.140,0.519,2.28,2.28,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-09,137,1,1.200,0.730,1.2,1.2,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-09,972,9,0.787,0.926,7.08,7.08,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-03,MN-07,1597,9,1.147,0.564,10.32,10.32,USD,0,1,1,1,0,1,1,1,0,24.98,24.98,24.98,41.31305044,41.31305044,2.420542636,2.420542636
2025-09-04,MN-16,1548,10,1.557,0.646,15.57,15.57,USD,1,1,1,1,1,1,1,1,31.49,31.49,31.49,31.49,49.44426802,49.44426802,2.022479127,2.022479127
2025-09-04,MN-15,2537,37,1.913,1.458,70.79,70.79,USD,6,8,9,9,6,9,10,10,138.98,224.84,248.33,248.33,31.48461128,28.50642291,3.176154824,3.507981353
2025-09-04,MN-14,971,11,4.110,1.133,45.21,45.21,USD,3,4,4,4,5,6,6,6,111.27,139.25,139.25,139.25,32.46678636,32.46678636,3.080070781,3.080070781
2025-09-04,MN-17,1146,6,5.042,0.524,30.25,30.25,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-25,809,5,4.566,0.618,22.83,22.83,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-13,396,5,2.434,1.263,12.17,12.17,USD,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2025-09-04,MN-36,3234,28,2.404,0.866,67.3,67.3,USD,7,7,7,7,7,7,7,7,220.43,220.43,220.43,220.43,30.53123441,30.53123441,3.275334324,3.275334324
2025-09-04,MN-22,266,3,1.457,1.128,4.37,4.37,USD,3,3,3,3,4,4,4,4,86.84,86.84,86.84,86.84,5.032243206,5.032243206,19.87185355,19.87185355
2025-09-04,MN-19,697,12,1.932,1.722,23.18,23.18,USD,3,4,4,4,3,4,4,4,122.7,163.58,163.58,163.58,14.17043648,14.17043648,7.056945643,7.056945643
2025-09-04,MN-37,65,1,4.720,1.538,4.72,4.72,USD,1,1,1,1,1,1,1,1,27.9,27.9,27.9,27.9,16.91756272,16.91756272,5.911016949,5.911016949
2025-09-04,MN-12,1444,12,1.093,0.831,13.12,13.12,USD,2,2,2,2,2,2,2,2,41.8,41.8,41.8,41.8,31.38755981,31.38755981,3.18597561,3.18597561
2025-09-04,MN-25,4488,42,4.838,0.936,203.19,203.19,USD,12,13,13,13,16,17,17,17,641.25,673.14,673.14,673.14,30.18539977,30.18539977,3.312859885,3.312859885
2025-09-04,MN-26,2327,11,4.459,0.473,49.05,49.05,USD,6,6,6,6,7,7,7,7,257.84,257.84,257.84,257.84,19.02342538,19.02342538,5.25667686,5.25667686
2025-09-04,MN-27,1142,6,5.847,0.525,35.08,35.08,USD,6,6,6,6,7,7,7,7,211.43,211.43,211.43,211.43,16.59177979,16.59177979,6.027080958,6.027080958
